alpha,epochs,accuracy,time
0.25,10,81.5613291567,0.664519071579
0.01,50,84.3252871445,3.62730002403
1e-06,50,23.6226276027,4.33838510513
1e-05,50,78.4656962103,3.96163201332
0.0001,50,84.4604139795,3.75395202637
0.001,50,84.7982310669,3.71081781387
0.01,50,83.1091456299,3.60242891312
0.1,50,83.6680793563,3.51576399803
1.0,50,81.235796327,3.51602005959
1e-06,50,23.6226276027,3.15867710114
1e-05,50,76.1992506603,3.07173585892
0.0001,50,84.5218352681,3.15213489532
0.001,50,84.884220871,2.54030203819
0.01,50,84.7613782937,2.72651600838
0.1,50,78.9877771636,2.68664598465
1.0,50,82.2615318469,2.32191109657
