alpha,epochs,accuracy,time
0.01,50,61.5442869129,110.687952042
1e-06,50,61.5442869129,110.508453846
1e-05,50,61.5442869129,114.39250493
0.0001,50,61.5442869129,113.394121885
0.001,50,61.5442869129,111.170691013
0.01,50,61.5442869129,111.721881866
0.1,50,61.5442869129,115.052041054
1.0,50,61.5442869129,114.205326796
1e-06,50,61.5442869129,81.049875021
1e-05,50,61.5442869129,77.1435389519
0.0001,50,61.5442869129,78.2045571804
0.001,50,61.5442869129,82.4377410412
0.01,50,61.5442869129,75.0436780453
0.1,50,61.5442869129,77.8158011436
1.0,50,61.5442869129,74.9915750027
