alpha,epochs,accuracy,time
0.01,10,91.4308459014,2.15747904778
0.0001,10,90.4995583472,2.38710618019
1.0,10,91.5911494967,2.10873794556
0.25,10,91.3174338339,2.22000288963
0.25,10,82.6914808673,0.665218830109
0.01,50,91.6096880078,11.3189470768
1e-06,50,30.9353224065,14.9660420418
1e-05,50,90.4995583472,13.9171550274
0.0001,50,90.4995583472,11.7328481674
0.001,50,90.7852695172,11.3160839081
0.01,50,91.695837559,11.6515898705
0.1,50,91.3828638728,11.2633841038
1.0,50,89.2683831147,11.135630846
1e-06,50,45.0224097883,11.6784689426
1e-05,50,90.4995583472,9.88618516922
0.0001,50,90.4995583472,7.96218800545
0.001,50,90.7710930088,8.61567902565
0.01,50,91.6500365318,8.28766798973
0.1,50,91.3119813306,7.83647704124
1.0,50,91.0197271567,7.73331308365
