eta : 0.1, lambda : 1e-06, epochs : 100, accuracy : 58.0238201783%, time : 208.128538847 s
eta : 0.1, lambda : 1e-06, epochs : 200, accuracy : 58.0238201783%, time : 407.363767147 s
eta : 0.012, lambda : 1e-07, epochs : 50, accuracy : 58.0238201783%, time : 127.293056011 s
eta : 0.012, lambda : 1e-06, epochs : 50, accuracy : 58.0238201783%, time : 124.669104099 s
eta : 0.012, lambda : 1e-05, epochs : 50, accuracy : 58.0238201783%, time : 124.276664019 s
eta : 0.012, lambda : 0.0001, epochs : 50, accuracy : 58.0238201783%, time : 123.176860809 s
eta : 0.012, lambda : 0.001, epochs : 50, accuracy : 58.0238201783%, time : 120.739208937 s
eta : 0.012, lambda : 0.01, epochs : 50, accuracy : 58.0238201783%, time : 120.728187084 s
eta : 0.012, lambda : 0.1, epochs : 50, accuracy : 58.0238201783%, time : 118.185609818 s
eta : 0.012, lambda : 1.0, epochs : 50, accuracy : 58.0238201783%, time : 140.287278891 s
eta : 0.012, lambda : 1e-07, epochs : 50, accuracy : 58.0238201783%, time : 126.512772083 s
eta : 0.012, lambda : 1e-06, epochs : 50, accuracy : 58.0238201783%, time : 123.807002068 s
eta : 0.012, lambda : 1e-05, epochs : 50, accuracy : 58.0238201783%, time : 126.784342051 s
eta : 0.012, lambda : 0.0001, epochs : 50, accuracy : 58.0238201783%, time : 122.325904131 s
eta : 0.012, lambda : 0.001, epochs : 50, accuracy : 58.0238201783%, time : 121.81449604 s
eta : 0.012, lambda : 0.01, epochs : 50, accuracy : 58.0238201783%, time : 118.892807961 s
eta : 0.012, lambda : 0.1, epochs : 50, accuracy : 58.0238201783%, time : 117.805011988 s
eta : 0.012, lambda : 1.0, epochs : 50, accuracy : 58.0238201783%, time : 140.528934956 s
