eta : 0.1, lambda : 0.0001, epochs : 200, accuracy : 82.127784866%, time : 41.8885359764 s
eta : 0.1, lambda : 1e-06, epochs : 200, accuracy : 81.7308426299%, time : 42.9585471153 s
eta : 0.1, lambda : 0.01, epochs : 200, accuracy : 85.0056160783%, time : 44.728826046 s
eta : 0.1, lambda : 0.02, epochs : 200, accuracy : 84.8758465011%, time : 47.2082819939 s
eta : 0.1, lambda : 0.1, epochs : 200, accuracy : 84.3753067033%, time : 52.4289708138 s
eta : 0.1, lambda : 0.01, epochs : 500, accuracy : 87.9903163542%, time : 117.100285053 s
eta : 0.1, lambda : 0.01, epochs : 1000, accuracy : 88.9859434466%, time : 229.792068005 s
eta : 0.1, lambda : 0.002, epochs : 100, accuracy : 82.7853567573%, time : 22.0649740696 s
eta : 0.1, lambda : 0.002, epochs : 200, accuracy : 84.0579710145%, time : 47.5714728832 s
eta : 0.1, lambda : 0.002, epochs : 500, accuracy : 86.3927329037%, time : 119.876348972 s
eta : 0.1, lambda : 0.002, epochs : 1000, accuracy : 88.3665390781%, time : 231.80963397 s
eta : 0.1, lambda : 0.002, epochs : 2000, accuracy : 87.9652348393%, time : 467.966844082 s
eta : 0.1, lambda : 2e-05, epochs : 2000, accuracy : 86.7918561412%, time : 423.358729124 s
eta : 0.1, lambda : 0.004, epochs : 500, accuracy : 86.7089780918%, time : 110.508198023 s
eta : 0.1, lambda : 0.004, epochs : 700, accuracy : 87.9794113477%, time : 169.966739178 s
eta : 0.1, lambda : 0.0002, epochs : 500, accuracy : 84.4385557409%, time : 112.657927036 s
eta : 0.1, lambda : 2e-05, epochs : 500, accuracy : 84.3611301949%, time : 133.183267117 s
eta : 0.1, lambda : 0.001, epochs : 500, accuracy : 88.329462056%, time : 113.692869902 s
eta : 0.1, lambda : 0.001, epochs : 600, accuracy : 88.5410191819%, time : 132.02415204 s
eta : 0.1, lambda : 0.1, epochs : 500, accuracy : 88.1048189224%, time : 140.198110104 s
eta : 0.1, lambda : 0.1, epochs : 1000, accuracy : 89.0742739992%, time : 272.995481968 s
eta : 0.1, lambda : 0.1, epochs : 1500, accuracy : 88.9859434466%, time : 415.676960945 s
eta : 0.1, lambda : 0.1, epochs : 200, accuracy : 90.4995583472%, time : 66.1630969048 s
eta : 0.1, lambda : 0.1, epochs : 400, accuracy : 90.4995583472%, time : 121.610388041 s
eta : 0.1, lambda : 0.1, epochs : 100, accuracy : 90.4995583472%, time : 29.6523721218 s
eta : 0.1, lambda : 0.01, epochs : 100, accuracy : 90.5093728531%, time : 25.4061498642 s
eta : 0.1, lambda : 0.001, epochs : 100, accuracy : 85.5268753885%, time : 24.3823120594 s
eta : 0.1, lambda : 0.02, epochs : 100, accuracy : 90.4995583472%, time : 28.6517078876 s
eta : 0.1, lambda : 0.05, epochs : 100, accuracy : 90.4526668193%, time : 31.9337038994 s
eta : 0.1, lambda : 0.05, epochs : 100, accuracy : 90.4995583472%, time : 13.5306851864 s
eta : 0.1, lambda : 0.05, epochs : 100, accuracy : 90.4995583472%, time : 13.7069399357 s
eta : 0.1, lambda : 0.05, epochs : 100, accuracy : 90.4995583472%, time : 13.8802158833 s
eta : 0.012, lambda : 1e-07, epochs : 50, accuracy : 62.2392340323%, time : 7.66794109344 s
eta : 0.012, lambda : 1e-06, epochs : 50, accuracy : 82.3262559841%, time : 7.78153610229 s
eta : 0.012, lambda : 1e-05, epochs : 50, accuracy : 90.2105756753%, time : 7.75271487236 s
eta : 0.012, lambda : 0.0001, epochs : 50, accuracy : 45.4673340531%, time : 7.84351801872 s
eta : 0.012, lambda : 0.001, epochs : 50, accuracy : 81.4276834495%, time : 7.88016891479 s
eta : 0.012, lambda : 0.01, epochs : 50, accuracy : 90.4995583472%, time : 8.22653603554 s
eta : 0.012, lambda : 0.1, epochs : 50, accuracy : 90.4995583472%, time : 12.0532970428 s
eta : 0.012, lambda : 1.0, epochs : 50, accuracy : 90.4995583472%, time : 13.7918159962 s
eta : 0.012, lambda : 1e-07, epochs : 50, accuracy : 66.2010228896%, time : 7.82270121574 s
eta : 0.012, lambda : 1e-06, epochs : 50, accuracy : 81.6097970578%, time : 7.69273591042 s
eta : 0.012, lambda : 1e-05, epochs : 50, accuracy : 53.9525196017%, time : 7.85500597954 s
eta : 0.012, lambda : 0.0001, epochs : 50, accuracy : 89.6009858126%, time : 7.84336900711 s
eta : 0.012, lambda : 0.001, epochs : 50, accuracy : 81.9009607311%, time : 7.83816504478 s
eta : 0.012, lambda : 0.01, epochs : 50, accuracy : 90.021919063%, time : 8.31788682938 s
eta : 0.012, lambda : 0.1, epochs : 50, accuracy : 90.4995583472%, time : 10.5386829376 s
eta : 0.012, lambda : 1.0, epochs : 50, accuracy : 90.4995583472%, time : 12.2815170288 s
