alpha, epochs, accuracy, time
1,   	100, 93.1692857143, 	125.139451981 
1,   	200, 93.22, 		270.472680092 
1, 	50,  93.2, 		64.0323600769 
1, 	30,  93.1271428571, 	37.7475121021 
0.1, 	30,  93.0928571429, 	40.575150013  
0.1, 	30,  92.6464285714, 	37.9414460659 
2, 	30,  0.0, 	       32.9623010159 
1.0, 	30,  92.0214285714, 	35.0104799271 
0.01, 	30,  92.6507142857, 	38.9609768391 
1e-06, 	100, 62.8807142857, 	207.403069019 
1e-05, 	100, 78.8307142857, 	203.778364897 
0.0001, 100, 90.5371428571, 	188.194401026 
0.001, 	100, 92.04, 	       175.671757936 
0.01, 	100, 93.0635714286, 	171.251679897 
0.1, 	100, 93.2307142857, 	170.881836176 
1, 	100, 88.7778571429, 	165.733323097 
10, 	100, 0.0, 	       157.192142963 
0.011, 	50,  93.2014285714, 	84.1144859791 
0.01, 	10,  91.3665063631, 	2.23158621788 
0.01, 	50,  92.8528571429, 	88.2215080261 
1e-06, 	50,  60.6514285714, 	101.710819006 
1e-05, 	50,  74.9864285714, 	103.960870981 
0.0001,	50,  89.5564285714, 	97.4041600227 
0.001, 	50,  91.6828571429, 	89.4958078861 
0.01, 	50,  92.8207142857, 	87.4589550495 
0.1, 	50,  93.265, 		87.0726070404 
1.0, 	50,  89.625, 		82.1310091019 
