alpha, epochs, accuracy, time
1,   	100, 93.1692857143, 	125.139451981 
1,   	200, 93.22, 		270.472680092 
1, 	50,  93.2, 		64.0323600769 
1, 	30,  93.1271428571, 	37.7475121021 
0.1, 	30,  93.0928571429, 	40.575150013  
0.1, 	30,  92.6464285714, 	37.9414460659 
2, 	30,  0.0, 	       32.9623010159 
1.0, 	30,  92.0214285714, 	35.0104799271 
0.01, 	30,  92.6507142857, 	38.9609768391 
1e-06, 	100, 62.8807142857, 	207.403069019 
1e-05, 	100, 78.8307142857, 	203.778364897 
0.0001, 100, 90.5371428571, 	188.194401026 
0.001, 	100, 92.04, 	       175.671757936 
0.01, 	100, 93.0635714286, 	171.251679897 
0.1, 	100, 93.2307142857, 	170.881836176 
1, 	100, 88.7778571429, 	165.733323097 
10, 	100, 0.0, 	       157.192142963 
0.011, 	50,  93.2014285714, 	84.1144859791 
0.01, 	10,  91.3665063631, 	2.23158621788 
0.01, 	50,  92.8528571429, 	88.2215080261 
1e-06, 	50,  60.6514285714, 	101.710819006 
1e-05, 	50,  74.9864285714, 	103.960870981 
0.0001,	50,  89.5564285714, 	97.4041600227 
0.001, 	50,  91.6828571429, 	89.4958078861 
0.01, 	50,  92.8207142857, 	87.4589550495 
0.1, 	50,  93.265, 		87.0726070404 
1.0, 	50,  89.625, 		82.1310091019 
1,50,60.762142857142855,85.46907162666321
1.0,50,60.64142857142857,80.09196662902832
0.1,50,61.70714285714286,114.0112829208374
0.1,50,61.544286912932165,87.69166588783264
0.1,50,61.544286912932165,84.60320782661438
1,30,60.65785714285714,49.52765774726868
1,30,92.1478571429,32.3199779987
0.1,50,61.5442869129,64.9527599812
1,30,60.80357142857142,53.638906478881836
0.1,50,93.095,54.8028409481
0.1,50,60.650000000000006,114.31543397903442
0.1,50,92.8592857143,56.0904300213
0.1,50,60.669285714285714,116.38967490196228
